Customer ID,Recency,Frequency,Monetary,Churn,R_Score,F_Score,M_Score,RFM_Score,Segment
12413.0,193,3,758.1,1,1,3,3,7,Risk Altında
12414.0,189,3,562.41,1,2,3,3,8,Risk Altında
12415.0,26,21,124914.53,0,4,5,5,14,Şampiyonlar
12417.0,41,9,3649.1,0,4,5,5,14,Şampiyonlar
12418.0,114,1,668.58,1,2,1,3,6,Kayıp Müşteriler
12420.0,154,1,600.39,1,2,1,3,6,Kayıp Müşteriler
12421.0,17,4,807.04,0,5,4,3,12,Sadık Müşteriler
12422.0,170,3,803.5600000000001,1,2,3,3,8,Risk Altında
12423.0,90,8,1859.31,1,2,5,4,11,Sadık Müşteriler
12424.0,164,2,1760.96,1,2,2,4,8,Risk Altında
12425.0,79,1,777.2,0,3,1,3,7,Risk Altında
12426.0,196,1,582.73,1,1,1,3,5,Kayıp Müşteriler
12427.0,23,3,825.8,0,4,3,3,10,Sadık Müşteriler
12428.0,27,9,7956.46,0,4,5,5,14,Şampiyonlar
12429.0,10,4,3750.4,0,5,4,5,14,Şampiyonlar
12430.0,45,1,256.4,0,3,1,2,6,Kayıp Müşteriler
12431.0,3,15,6487.45,0,5,5,5,15,Şampiyonlar
12432.0,44,5,5059.32,0,4,4,5,13,Şampiyonlar
12433.0,11,7,13375.87,0,5,5,5,15,Şampiyonlar
12434.0,86,2,806.14,0,3,2,3,8,Risk Altında
12435.0,81,2,7829.89,0,3,2,5,10,Sadık Müşteriler
12436.0,336,1,509.01,1,1,1,3,5,Kayıp Müşteriler
12437.0,10,18,4951.41,0,5,5,5,15,Şampiyonlar
12438.0,16,2,2906.85,0,5,2,5,12,Sadık Müşteriler
12441.0,486,1,173.55,1,1,1,1,3,Kayıp Müşteriler
12442.0,182,1,172.06,1,2,1,1,4,Kayıp Müşteriler
12444.0,1,5,5005.46,0,5,4,5,14,Şampiyonlar
12445.0,23,1,133.4,0,4,1,1,6,Kayıp Müşteriler
12446.0,59,1,1002.3100000000001,0,3,1,4,8,Risk Altında
12447.0,68,1,476.49,0,3,1,2,6,Kayıp Müşteriler
12448.0,46,1,449.45,0,3,1,2,6,Kayıp Müşteriler
12449.0,24,4,4067.29,0,4,4,5,13,Şampiyonlar
12450.0,175,2,197.88,1,2,2,1,5,Kayıp Müşteriler
12451.0,12,5,9035.52,0,5,4,5,14,Şampiyonlar
12452.0,18,2,430.57,0,5,2,2,9,Risk Altında
12453.0,136,1,707.09,1,2,1,3,6,Kayıp Müşteriler
12454.0,58,1,3528.34,0,3,1,5,9,Risk Altında
12455.0,75,6,2466.86,0,3,4,5,12,Sadık Müşteriler
12456.0,46,3,3181.04,0,3,3,5,11,Sadık Müşteriler
12457.0,83,7,2363.23,0,3,5,5,13,Şampiyonlar
12458.0,73,2,947.4,0,3,2,4,9,Risk Altında
12461.0,126,2,826.88,1,2,2,3,7,Risk Altında
12462.0,20,2,1189.59,0,4,2,4,10,Sadık Müşteriler
12463.0,7,4,1344.78,0,5,4,4,13,Şampiyonlar
12464.0,12,8,1212.05,0,5,5,4,14,Şampiyonlar
12465.0,19,2,742.1899999999999,0,5,2,3,10,Sadık Müşteriler
12468.0,219,2,729.5400000000001,1,1,2,3,6,Kayıp Müşteriler
12471.0,12,30,19824.05,0,5,5,5,15,Şampiyonlar
12472.0,53,7,6572.11,0,3,5,5,13,Şampiyonlar
12473.0,55,5,3938.5499999999997,0,3,4,5,12,Sadık Müşteriler
12474.0,4,18,7375.79,0,5,5,5,15,Şampiyonlar
12475.0,55,1,723.38,0,3,1,3,7,Risk Altında
12476.0,17,11,6816.42,0,5,5,5,15,Şampiyonlar
12477.0,24,6,13219.74,0,4,4,5,13,Şampiyonlar
12478.0,182,1,680.99,1,2,1,3,6,Kayıp Müşteriler
12479.0,13,1,527.2,0,5,1,3,9,Risk Altında
12480.0,30,4,3281.63,0,4,4,5,13,Şampiyonlar
12481.0,24,10,5596.32,0,4,5,5,14,Şampiyonlar
12483.0,19,8,2484.98,0,5,5,5,15,Şampiyonlar
12484.0,102,6,4541.72,1,2,4,5,11,Sadık Müşteriler
12488.0,11,3,1298.66,0,5,3,4,12,Sadık Müşteriler
12489.0,163,1,334.93,1,2,1,2,5,Kayıp Müşteriler
12490.0,19,10,5417.93,0,5,5,5,15,Şampiyonlar
12491.0,334,1,460.40000000000003,1,1,1,2,4,Kayıp Müşteriler
12492.0,107,2,263.21000000000004,1,2,2,2,6,Kayıp Müşteriler
12493.0,167,2,433.74,1,2,2,2,6,Kayıp Müşteriler
12494.0,17,7,1246.1000000000001,0,5,5,4,14,Şampiyonlar
12497.0,83,1,1043.1,0,3,1,4,8,Risk Altında
12498.0,23,3,403.70000000000005,0,4,3,2,9,Risk Altında
12500.0,25,11,4257.82,0,4,5,5,14,Şampiyonlar
12501.0,163,1,2169.39,1,2,1,5,8,Risk Altında
12502.0,189,5,3723.87,1,2,4,5,11,Sadık Müşteriler
12504.0,20,2,482.04999999999995,0,4,2,2,8,Risk Altında
12506.0,234,1,73.5,1,1,1,1,3,Kayıp Müşteriler
12507.0,136,3,1304.81,1,2,3,4,9,Risk Altında
12508.0,28,2,398.27,0,4,2,2,8,Risk Altında
12509.0,286,1,176.5,1,1,1,1,3,Kayıp Müşteriler
12510.0,144,2,982.5699999999999,1,2,2,4,8,Risk Altında
12512.0,245,2,138.03,1,1,2,1,4,Kayıp Müşteriler
12513.0,114,1,612.29,1,2,1,3,6,Kayıp Müşteriler
12514.0,269,1,1017.68,1,1,1,4,6,Kayıp Müşteriler
12515.0,355,1,383.7,1,1,1,2,4,Kayıp Müşteriler
12516.0,5,2,1312.06,0,5,2,4,11,Sadık Müşteriler
12517.0,30,5,2502.84,0,4,4,5,13,Şampiyonlar
12518.0,1,5,2056.89,0,5,4,4,13,Şampiyonlar
12519.0,154,1,340.84,1,2,1,2,5,Kayıp Müşteriler
12520.0,38,5,2634.26,0,4,4,5,13,Şampiyonlar
12521.0,144,1,599.68,1,2,1,3,6,Kayıp Müşteriler
12522.0,41,2,192.72,0,4,2,1,7,Risk Altında
12523.0,10,11,1789.77,0,5,5,4,14,Şampiyonlar
12524.0,11,8,4485.72,0,5,5,5,15,Şampiyonlar
12526.0,55,3,1316.66,0,3,3,4,10,Sadık Müşteriler
12527.0,83,3,348.71000000000004,0,3,3,2,8,Risk Altında
12528.0,11,6,1933.48,0,5,5,4,14,Şampiyonlar
12530.0,31,4,1662.28,0,4,4,4,12,Sadık Müşteriler
12531.0,16,1,125.22,0,5,1,1,7,Risk Altında
12532.0,91,1,349.83000000000004,1,2,1,2,5,Kayıp Müşteriler
12534.0,337,1,1089.18,1,1,1,4,6,Kayıp Müşteriler
12535.0,93,2,716.35,1,2,2,3,7,Risk Altında
12536.0,31,3,12601.830000000002,0,4,3,5,12,Sadık Müşteriler
12538.0,61,1,363.95,0,3,1,2,6,Kayıp Müşteriler
12539.0,24,4,5568.35,0,4,4,5,13,Şampiyonlar
12540.0,21,17,13400.24,0,4,5,5,14,Şampiyonlar
12541.0,61,3,981.18,0,3,3,4,10,Sadık Müşteriler
12544.0,275,1,372.7,1,1,1,2,4,Kayıp Müşteriler
12545.0,77,2,1000.39,0,3,2,4,9,Risk Altında
12546.0,48,2,1161.5,0,3,2,4,9,Risk Altında
12547.0,199,2,207.79999999999998,1,1,2,1,4,Kayıp Müşteriler
12548.0,168,1,95.19999999999999,1,2,1,1,4,Kayıp Müşteriler
12550.0,81,1,964.83,0,3,1,4,8,Risk Altında
12551.0,359,1,168.0,1,1,1,1,3,Kayıp Müşteriler
12552.0,41,2,437.82,0,4,2,2,8,Risk Altında
12553.0,1,10,3692.28,0,5,5,5,15,Şampiyonlar
12556.0,34,2,603.71,0,4,2,3,9,Risk Altında
12557.0,18,5,11990.960000000001,0,5,4,5,14,Şampiyonlar
12558.0,302,1,269.96,1,1,1,2,4,Kayıp Müşteriler
12559.0,312,2,561.71,1,1,2,3,6,Kayıp Müşteriler
12560.0,114,3,2134.01,1,2,3,5,10,Sadık Müşteriler
12561.0,70,1,238.85,0,3,1,1,5,Kayıp Müşteriler
12562.0,24,7,3781.7400000000002,0,4,5,5,14,Şampiyonlar
12564.0,263,1,456.9,1,1,1,2,4,Kayıp Müşteriler
12565.0,290,1,145.92,1,1,1,1,3,Kayıp Müşteriler
12566.0,88,1,351.65,0,3,1,2,6,Kayıp Müşteriler
12567.0,24,10,9401.28,0,4,5,5,14,Şampiyonlar
12569.0,1,32,4124.69,0,5,5,5,15,Şampiyonlar
12571.0,41,2,519.61,0,4,2,3,9,Risk Altında
12572.0,53,2,1020.42,0,3,2,4,9,Risk Altında
12573.0,229,1,160.54000000000002,1,1,1,1,3,Kayıp Müşteriler
12574.0,317,1,218.45,1,1,1,1,3,Kayıp Müşteriler
12576.0,131,5,1315.83,1,2,4,4,10,Sadık Müşteriler
12577.0,244,3,657.8,1,1,3,3,7,Risk Altında
12578.0,23,2,2794.51,0,4,2,5,11,Sadık Müşteriler
12579.0,80,1,440.42,0,3,1,2,6,Kayıp Müşteriler
12580.0,160,1,415.7,1,2,1,2,5,Kayıp Müşteriler
12581.0,41,1,197.71,0,4,1,1,6,Kayıp Müşteriler
12582.0,240,2,511.36,1,1,2,3,6,Kayıp Müşteriler
12583.0,1,15,7281.38,0,5,5,5,15,Şampiyonlar
12584.0,19,9,2338.15,0,5,5,5,15,Şampiyonlar
12585.0,236,2,2040.1,1,1,2,4,7,Risk Altında
12586.0,19,1,196.94000000000003,0,5,1,1,7,Risk Altında
12587.0,302,1,144.0,1,1,1,1,3,Kayıp Müşteriler
12588.0,41,1,214.89999999999998,0,4,1,1,6,Kayıp Müşteriler
12589.0,30,2,646.68,0,4,2,3,9,Risk Altında
12590.0,6,2,9864.26,0,5,2,5,12,Sadık Müşteriler
12591.0,319,1,452.84999999999997,1,1,1,2,4,Kayıp Müşteriler
12592.0,67,2,437.6,0,3,2,2,7,Risk Altında
12593.0,110,3,418.09999999999997,1,2,3,2,7,Risk Altında
12594.0,48,10,3338.2200000000003,0,3,5,5,13,Şampiyonlar
12596.0,37,2,618.27,0,4,2,3,9,Risk Altında
12597.0,21,4,3811.22,0,4,4,5,13,Şampiyonlar
12598.0,11,8,3023.08,0,5,5,5,15,Şampiyonlar
12599.0,34,7,1032.58,0,4,5,4,13,Şampiyonlar
12600.0,30,10,2599.04,0,4,5,5,14,Şampiyonlar
12601.0,40,5,577.0600000000001,0,4,4,3,11,Sadık Müşteriler
12602.0,1,1,153.12,0,5,1,1,7,Risk Altında
12603.0,23,1,739.1999999999999,0,4,1,3,8,Risk Altında
12604.0,81,2,254.18,0,3,2,2,7,Risk Altında
12607.0,62,1,1579.51,0,3,1,4,8,Risk Altında
12609.0,80,3,1126.85,0,3,3,4,10,Sadık Müşteriler
12610.0,24,5,2099.54,0,4,4,5,13,Şampiyonlar
12611.0,54,1,1193.32,0,3,1,4,8,Risk Altında
12612.0,76,1,704.0400000000001,0,3,1,3,7,Risk Altında
12613.0,59,5,3344.38,0,3,4,5,12,Sadık Müşteriler
12614.0,161,1,315.6,1,2,1,2,5,Kayıp Müşteriler
12615.0,73,4,2291.19,0,3,4,5,12,Sadık Müşteriler
12616.0,216,2,713.3,1,1,2,3,6,Kayıp Müşteriler
12617.0,61,1,355.53,0,3,1,2,6,Kayıp Müşteriler
12618.0,23,1,177.31,0,4,1,1,6,Kayıp Müşteriler
12619.0,18,9,3641.24,0,5,5,5,15,Şampiyonlar
12620.0,16,3,1339.41,0,5,3,4,12,Sadık Müşteriler
12621.0,6,20,13689.67,0,5,5,5,15,Şampiyonlar
12622.0,234,1,180.1,1,1,1,1,3,Kayıp Müşteriler
12623.0,130,1,305.1,1,2,1,2,5,Kayıp Müşteriler
12624.0,108,2,641.13,1,2,2,3,7,Risk Altında
12625.0,6,2,2683.82,0,5,2,5,12,Sadık Müşteriler
12626.0,25,9,6620.48,0,4,5,5,14,Şampiyonlar
12627.0,12,7,4478.53,0,5,5,5,15,Şampiyonlar
12628.0,183,3,786.46,1,2,3,3,8,Risk Altında
12630.0,11,2,1270.88,0,5,2,4,11,Sadık Müşteriler
12631.0,59,1,640.5,0,3,1,3,7,Risk Altında
12633.0,1,4,2163.98,0,5,4,5,14,Şampiyonlar
12635.0,32,2,1689.18,0,4,2,4,10,Sadık Müşteriler
12637.0,93,8,6021.9,1,2,5,5,12,Sadık Müşteriler
12638.0,183,1,671.69,1,2,1,3,6,Kayıp Müşteriler
12639.0,240,1,486.1,1,1,1,2,4,Kayıp Müşteriler
12640.0,25,3,1174.58,0,4,3,4,11,Sadık Müşteriler
12641.0,117,1,185.9,1,2,1,1,4,Kayıp Müşteriler
12642.0,27,3,1013.26,0,4,3,4,11,Sadık Müşteriler
12643.0,40,6,3344.64,0,4,5,5,14,Şampiyonlar
12644.0,306,1,477.91,1,1,1,2,4,Kayıp Müşteriler
12645.0,111,4,1775.18,1,2,4,4,10,Sadık Müşteriler
12646.0,51,2,1346.97,0,3,2,4,9,Risk Altında
12647.0,24,12,3722.82,0,4,5,5,14,Şampiyonlar
12648.0,126,1,318.05,1,2,1,2,5,Kayıp Müşteriler
12649.0,36,3,623.51,0,4,3,3,10,Sadık Müşteriler
12650.0,182,1,314.44,1,2,1,2,5,Kayıp Müşteriler
12651.0,101,1,114.0,1,2,1,1,4,Kayıp Müşteriler
12652.0,10,1,919.98,0,5,1,3,9,Risk Altında
12653.0,150,2,2209.85,1,2,2,5,9,Risk Altında
12654.0,12,5,601.98,0,5,4,3,12,Sadık Müşteriler
12656.0,19,5,4051.17,0,5,4,5,14,Şampiyonlar
12657.0,13,4,1643.18,0,5,4,4,13,Şampiyonlar
12658.0,20,1,686.05,0,4,1,3,8,Risk Altında
12659.0,61,1,91.68,0,3,1,1,5,Kayıp Müşteriler
12660.0,13,1,245.1,0,5,1,1,7,Risk Altında
12662.0,24,11,3849.78,0,4,5,5,14,Şampiyonlar
12664.0,1,9,4881.88,0,5,5,5,15,Şampiyonlar
12665.0,326,1,63.0,1,1,1,1,3,Kayıp Müşteriler
12667.0,1,1,620.13,0,5,1,3,9,Risk Altında
12668.0,13,4,3807.15,0,5,4,5,14,Şampiyonlar
12669.0,4,3,2744.0299999999997,0,5,3,5,13,Şampiyonlar
12670.0,12,5,2996.05,0,5,4,5,14,Şampiyonlar
12672.0,331,1,225.89999999999998,1,1,1,1,3,Kayıp Müşteriler
12673.0,243,2,610.52,1,1,2,3,6,Kayıp Müşteriler
12674.0,93,4,1970.6,1,2,4,4,10,Sadık Müşteriler
12676.0,26,6,1331.39,0,4,5,4,13,Şampiyonlar
12678.0,44,12,17628.46,0,4,5,5,14,Şampiyonlar
12679.0,1,4,1113.02,0,5,4,4,13,Şampiyonlar
12680.0,32,4,880.81,0,4,4,3,11,Sadık Müşteriler
12681.0,16,22,13787.54,0,5,5,5,15,Şampiyonlar
12682.0,3,31,12288.22,0,5,5,5,15,Şampiyonlar
12683.0,6,15,8476.57,0,5,5,5,15,Şampiyonlar
12684.0,26,7,2283.63,0,4,5,5,14,Şampiyonlar
12685.0,30,6,2863.08,0,4,5,5,14,Şampiyonlar
12686.0,639,1,89.14,1,1,1,1,3,Kayıp Müşteriler
12688.0,115,1,4873.8099999999995,1,2,1,5,8,Risk Altında
12689.0,27,2,1247.61,0,4,2,4,10,Sadık Müşteriler
12690.0,207,1,389.01,1,1,1,2,4,Kayıp Müşteriler
12691.0,1,6,1035.8,0,5,5,4,14,Şampiyonlar
12693.0,6,4,855.91,0,5,4,3,12,Sadık Müşteriler
12694.0,72,2,869.67,0,3,2,3,8,Risk Altında
12695.0,109,4,582.1,1,2,4,3,9,Risk Altında
12697.0,30,3,957.59,0,4,3,4,11,Sadık Müşteriler
12700.0,128,4,4939.99,1,2,4,5,11,Sadık Müşteriler
12701.0,37,2,797.71,0,4,2,3,9,Risk Altında
12702.0,21,1,219.0,0,4,1,1,6,Kayıp Müşteriler
12703.0,72,1,283.55,0,3,1,2,6,Kayıp Müşteriler
12704.0,24,8,2340.84,0,4,5,5,14,Şampiyonlar
12705.0,17,9,6868.29,0,5,5,5,15,Şampiyonlar
12707.0,293,1,603.42,1,1,1,3,5,Kayıp Müşteriler
12708.0,61,10,2712.91,0,3,5,5,13,Şampiyonlar
12709.0,1,15,9736.52,0,5,5,5,15,Şampiyonlar
12710.0,203,3,1149.02,1,1,3,4,8,Risk Altında
12712.0,10,13,4396.13,0,5,5,5,15,Şampiyonlar
12713.0,90,1,848.55,1,2,1,3,6,Kayıp Müşteriler
12714.0,11,5,4708.86,0,5,4,5,14,Şampiyonlar
12715.0,108,1,353.86,1,2,1,2,5,Kayıp Müşteriler
12716.0,135,2,1053.49,1,2,2,4,8,Risk Altında
12717.0,34,2,1030.98,0,4,2,4,10,Sadık Müşteriler
12718.0,73,1,238.25,0,3,1,1,5,Kayıp Müşteriler
12719.0,215,2,644.95,1,1,2,3,6,Kayıp Müşteriler
12720.0,4,25,5781.73,0,5,5,5,15,Şampiyonlar
12721.0,81,6,2656.13,0,3,5,5,13,Şampiyonlar
12722.0,4,4,997.63,0,5,4,4,13,Şampiyonlar
12723.0,18,5,725.07,0,5,4,3,12,Sadık Müşteriler
12724.0,40,4,1031.41,0,4,4,4,12,Sadık Müşteriler
12725.0,639,1,427.8,1,1,1,2,4,Kayıp Müşteriler
12726.0,30,7,2609.1,0,4,5,5,14,Şampiyonlar
12727.0,12,7,3980.7,0,5,5,5,15,Şampiyonlar
12728.0,40,4,836.33,0,4,4,3,11,Sadık Müşteriler
12729.0,115,1,453.01,1,2,1,2,5,Kayıp Müşteriler
12731.0,25,12,18895.91,0,4,5,5,14,Şampiyonlar
12732.0,181,1,236.26000000000002,1,2,1,1,4,Kayıp Müşteriler
12733.0,236,1,383.95,1,1,1,2,4,Kayıp Müşteriler
12734.0,354,1,110.39999999999999,1,1,1,1,3,Kayıp Müşteriler
12735.0,193,2,779.5699999999999,1,1,2,3,6,Kayıp Müşteriler
12736.0,40,1,234.0,0,4,1,1,6,Kayıp Müşteriler
12738.0,666,1,155.35,1,1,1,1,3,Kayıp Müşteriler
12739.0,80,2,1013.04,0,3,2,4,9,Risk Altında
12740.0,154,1,427.6,1,2,1,2,5,Kayıp Müşteriler
12743.0,136,2,546.43,1,2,2,3,7,Risk Altında
12744.0,53,7,21279.29,0,3,5,5,13,Şampiyonlar
12747.0,24,11,4196.01,0,4,5,5,14,Şampiyonlar
12748.0,5,209,33719.73,0,5,5,5,15,Şampiyonlar
12749.0,24,5,4090.88,0,4,4,5,13,Şampiyonlar
12750.0,278,1,275.88,1,1,1,2,4,Kayıp Müşteriler
12752.0,83,1,4366.78,0,3,1,5,9,Risk Altında
12753.0,24,6,21429.39,0,4,5,5,14,Şampiyonlar
12754.0,161,3,3010.74,1,2,3,5,10,Sadık Müşteriler
12755.0,252,2,3811.95,1,1,2,5,8,Risk Altında
12756.0,88,1,112.07999999999998,0,3,1,1,5,Kayıp Müşteriler
12757.0,5,13,7857.1,0,5,5,5,15,Şampiyonlar
12758.0,118,2,2791.59,1,2,2,5,9,Risk Altında
12759.0,54,3,1531.44,0,3,3,4,10,Sadık Müşteriler
12762.0,27,2,1898.52,0,4,2,4,10,Sadık Müşteriler
12763.0,140,2,494.08,1,2,2,3,7,Risk Altında
12764.0,318,1,1693.88,1,1,1,4,6,Kayıp Müşteriler
12766.0,59,7,6989.63,0,3,5,5,13,Şampiyonlar
12769.0,240,1,1143.6,1,1,1,4,6,Kayıp Müşteriler
12770.0,212,1,1351.45,1,1,1,4,6,Kayıp Müşteriler
12772.0,31,1,892.47,0,4,1,3,8,Risk Altında
12775.0,19,5,1386.04,0,5,4,4,13,Şampiyonlar
12778.0,21,6,822.23,0,4,5,3,12,Sadık Müşteriler
12779.0,200,8,3981.36,1,1,5,5,11,Sadık Müşteriler
12781.0,154,2,826.74,1,2,2,3,7,Risk Altında
12782.0,151,5,2330.92,1,2,4,5,11,Sadık Müşteriler
12783.0,55,6,2225.91,0,3,5,5,13,Şampiyonlar
12784.0,11,2,574.42,0,5,2,3,10,Sadık Müşteriler
12785.0,425,1,311.95,1,1,1,2,4,Kayıp Müşteriler
12787.0,11,3,463.66,0,5,3,2,10,Sadık Müşteriler
12789.0,215,1,91.85,1,1,1,1,3,Kayıp Müşteriler
12790.0,194,1,324.92,1,1,1,2,4,Kayıp Müşteriler
12791.0,698,1,192.60000000000002,1,1,1,1,3,Kayıp Müşteriler
12792.0,258,1,400.53999999999996,1,1,1,2,4,Kayıp Müşteriler
12793.0,101,2,545.48,1,2,2,3,7,Risk Altında
12794.0,55,2,860.41,0,3,2,3,8,Risk Altında
12795.0,20,1,430.48,0,4,1,2,7,Risk Altında
12797.0,455,1,254.03,1,1,1,2,4,Kayıp Müşteriler
12798.0,12,3,6977.04,0,5,3,5,13,Şampiyonlar
12802.0,188,1,427.58,1,2,1,2,5,Kayıp Müşteriler
12808.0,127,3,483.65000000000003,1,2,3,2,7,Risk Altında
12809.0,179,1,489.31,1,2,1,2,5,Kayıp Müşteriler
12811.0,262,3,514.85,1,1,3,3,7,Risk Altında
12812.0,46,1,229.64000000000001,0,3,1,1,5,Kayıp Müşteriler
12814.0,103,1,125.92,1,2,1,1,4,Kayıp Müşteriler
12815.0,149,2,1063.46,1,2,2,4,8,Risk Altında
12816.0,178,2,572.2,1,2,2,3,7,Risk Altında
12817.0,283,1,166.04,1,1,1,1,3,Kayıp Müşteriler
12818.0,263,1,1542.08,1,1,1,4,6,Kayıp Müşteriler
12820.0,46,4,942.34,0,3,4,4,11,Sadık Müşteriler
12821.0,97,1,92.72,1,2,1,1,4,Kayıp Müşteriler
12822.0,72,2,948.88,0,3,2,4,9,Risk Altında
12823.0,76,5,1759.5,0,3,4,4,11,Sadık Müşteriler
12824.0,31,1,397.12,0,4,1,2,7,Risk Altında
12826.0,61,7,1474.72,0,3,5,4,12,Sadık Müşteriler
12827.0,46,3,430.15000000000003,0,3,3,2,8,Risk Altında
12828.0,114,6,1018.71,1,2,5,4,11,Sadık Müşteriler
12829.0,163,2,293.0,1,2,2,2,6,Kayıp Müşteriler
12830.0,93,6,6814.64,1,2,5,5,12,Sadık Müşteriler
12831.0,264,1,215.05,1,1,1,1,3,Kayıp Müşteriler
12832.0,153,2,383.03,1,2,2,2,6,Kayıp Müşteriler
12833.0,147,1,417.38,1,2,1,2,5,Kayıp Müşteriler
12834.0,311,1,312.38,1,1,1,2,4,Kayıp Müşteriler
12836.0,31,4,2612.86,0,4,4,5,13,Şampiyonlar
12837.0,175,1,134.1,1,2,1,1,4,Kayıp Müşteriler
12838.0,183,2,683.13,1,2,2,3,7,Risk Altında
12839.0,13,14,5591.42,0,5,5,5,15,Şampiyonlar
12840.0,66,4,2726.77,0,3,4,5,12,Sadık Müşteriler
12841.0,5,25,4022.35,0,5,5,5,15,Şampiyonlar
12842.0,72,2,1118.99,0,3,2,4,9,Risk Altında
12843.0,67,8,1702.26,0,3,5,4,12,Sadık Müşteriler
12844.0,61,2,325.96000000000004,0,3,2,2,7,Risk Altında
12845.0,269,4,354.09,1,1,4,2,7,Risk Altında
12847.0,24,1,871.54,0,4,1,3,8,Risk Altında
12849.0,122,2,1050.8899999999999,1,2,2,4,8,Risk Altında
12851.0,246,1,135.18,1,1,1,1,3,Kayıp Müşteriler
12852.0,296,1,311.55,1,1,1,2,4,Kayıp Müşteriler
12853.0,136,6,1957.1000000000001,1,2,5,4,11,Sadık Müşteriler
12854.0,7,3,1324.5,0,5,3,4,12,Sadık Müşteriler
12855.0,667,1,38.1,1,1,1,1,3,Kayıp Müşteriler
12856.0,20,6,2179.93,0,4,5,5,14,Şampiyonlar
12857.0,70,2,1106.4,0,3,2,4,9,Risk Altında
12863.0,54,1,521.2,0,3,1,3,7,Risk Altında
12864.0,140,1,147.12,1,2,1,1,4,Kayıp Müşteriler
12865.0,28,2,1568.23,0,4,2,4,10,Sadık Müşteriler
12866.0,342,1,559.12,1,1,1,3,5,Kayıp Müşteriler
12867.0,28,7,4036.82,0,4,5,5,14,Şampiyonlar
12868.0,10,6,1607.0600000000002,0,5,5,4,14,Şampiyonlar
